cone_number,cone_length_mm,cone_width_mm,stalk_length_mm,scale_length_mm,scale_width_mm,scale_number,cone_angle,colour (hue),value,chroma,profile,cone_ratio
52,41.40,23.75,7.25,9.03,9.58,63,7,2,4,2,1,0.57367
26,51.62,21.68,7.21,8.57,7.47,64,7,1,5,2,1,0.41999
6,54.06,24.80,10.35,10.89,10.02,82,8,1,5,2,1,0.45875
28,39.61,18.27,12.57,7.64,6.87,64,8,1,5,2,1,0.46125
6,46.11,21.60,8.83,8.11,7.03,70,7,1,5,2,1,0.46845
6,36.19,17.24,9.06,7.97,7.35,47,8,1,5,2,1,0.47637
6,49.00,23.84,8.54,9.76,8.96,70,14,1,5,2,1,0.48653
2,26.42,15.95,9.36,4.98,5.25,42,12,1,5,2,1,0.60371
2,22.08,14.55,8.46,5.45,5.38,46,12,1,5,2,1,0.65897
5,50.23,19.50,7.30,5.64,6.22,81,9,2,5,2,1,0.38821
3,29.05,15.39,10.25,6.43,6.33,53,14,1,5,4,1,0.52978
5,38.94,19.09,9.48,8.37,8.06,62,11,1,6,2,1,0.49024
114,44.66,20.16,6.81,8.80,7.17,55,9,1,6,4,1,0.45141
7,44.28,20.67,10.56,7.96,6.94,66,7,1,6,4,1,0.46680
1,38.17,17.90,9.37,4.81,4.94,63,9,1,6,4,1,0.46895
45,47.70,23.03,7.21,10.57,8.53,61,7,1,6,4,1,0.48281
2,52.92,25.70,8.79,9.89,8.64,75,9,1,6,4,1,0.48564
45,51.15,26.51,9.21,10.38,9.32,66,9,1,6,4,1,0.51828
7,29.95,15.67,8.06,6.45,5.62,50,7,1,6,4,1,0.52321
1,25.00,13.44,7.18,2.95,3.69,46,5,1,6,4,1,0.53760
52,58.30,21.86,10.16,8.50,8.30,73,7,1,7,2,1,0.37496
8,37.83,17.01,8.64,8.64,8.11,53,6,1,7,4,1,0.44964
8,33.24,15.78,7.71,7.18,6.62,47,7,1,7,4,1,0.47473
68,38.09,18.34,10.01,8.05,7.12,53,15,1,7,4,1,0.48149
45,51.62,25.08,8.34,9.70,9.00,69,7,1,7,4,1,0.48586
2,56.48,27.55,11.57,8.63,8.51,83,8,1,7,4,1,0.48778
45,54.35,26.69,10.37,10.42,9.72,76,10,1,7,4,1,0.49108
45,50.74,25.57,8.37,11.21,9.62,65,9,1,7,4,1,0.50394
8,35.69,18.22,9.22,8.34,8.00,50,6,1,7,4,1,0.51051
4,44.59,23.05,7.39,7.96,7.36,67,15,1,7,4,1,0.51693
2,29.52,18.27,8.78,6.09,6.35,47,9,1,7,4,1,0.61890
8,38.39,17.92,8.25,7.93,7.30,64,8,1,7,6,1,0.46679
68,27.17,19.40,9.92,8.05,8.22,53,25,1,8,2,1,0.71402
32,42.36,19.37,8.60,7.64,7.55,62,8,1,8,4,1,0.45727
19,51.84,25.17,8.51,8.31,7.65,76,7,1,8,4,1,0.48553
10,31.56,15.39,9.94,8.63,5.72,55,5,1,8,4,1,0.48764
5,33.86,18.18,13.48,6.31,5.74,60,16,1,8,4,1,0.53692
5,41.74,20.02,9.81,7.31,8.74,64,12,1,7,4,1,0.47964
109,47.28,26.02,11.66,7.26,7.60,97,14,1,6,4,1,0.55034
5,34.26,18.12,9.75,7.16,8.90,68,14,1,7,4,1,0.52890
109,42.38,24.00,10.21,8.28,7.70,82,12,1,6,4,1,0.56630
7,48.21,23.18,9.72,9.37,7.87,70,9,1,7,6,1,0.48081
24,32.81,14.74,8.49,5.40,6.45,48,5,1,8,4,1,0.44925
8,27.14,14.60,7.30,6.94,6.13,51,11,1,8,4,1,0.53795
8,31.29,15.29,11.74,6.06,6.25,52,14,1,7,4,1,0.48865
52,52.11,20.97,11.07,9.27,9.76,52,10,1,6,4,1,0.40242
109,44.48,24.41,7.72,7.39,7.42,77,10,1,6,4,1,0.54879
110,41.83,19.06,9.55,5.43,6.49,57,10,1,7,4,1,0.45565
4,49.97,24.96,10.42,8.74,8.44,74,10,1,8,2,1,0.49950
1,44.95,20.11,7.21,7.23,6.82,50,9,1,8,6,1,0.44739
64,60.04,27.94,11.20,9.95,9.44,89,8,2,5,4,1,0.46536
4,39.63,21.39,7.16,8.40,7.14,75,14,1,6,2,1,0.53974
10,32.28,16.05,8.65,6.34,5.65,53,5,1,6,2,1,0.49721
32,42.45,20.38,7.69,7.79,7.37,65,8,1,6,4,1,0.48009
35,36.80,21.12,9.28,7.11,6.83,59,6,1,6,4,1,0.57391
68,37.40,18.19,7.44,8.44,8.51,56,16,2,6,4,1,0.48636
8,42.53,20.45,8.92,9.34,8.44,57,6,1,7,6,1,0.48084
