cones,cone_length,cone_width,stalk_length,scale_length,scale_width,scale_number,cone_ratio,angle,hue,value,chroma,profile,openness,seed_number,filled_seeds,viability,seed_weight,dry_weight,wet_weight
40,34.39,18.91,8.28,8.21,7.55,52,2.283816425,16,1,6,4,1,4,20,12,0.6,0.166,3.23,4.88
40,37.81,19.8,7.71,8.25,7.87,48,2.568093385,12,1,6,4,1,4,13,12,0.923076923,0.169,3.74,5.32
40,39.84,20.83,7.84,8.98,8.07,56,2.656887755,15,1,6,4,1,4,24,14,0.583333333,0.25,4.27,7.05
40,39.5,21.59,9.96,7.58,6.7,57,2.167670683,16,1,7,4,1,4,29,15,0.517241379,0.22,4.52,6.48
40,34.13,18.51,7.48,7.23,6.89,52,2.47459893,15,1,5,4,1,4,28,21,0.75,0.237,2.86,4.6
14,45.3,22.34,12.15,7.88,5.9,72,1.838683128,7,1,6,4,2,4,51,45,0.882352941,0.39,5.81,8.35
15,43.73,20.53,6.35,9.96,7.53,56,3.233070866,9,1,7,4,2,1,0,0,0,0,4.62,7.52
15,43.12,20.04,7.92,8.49,7.17,54,2.53030303,17,1,8,4,3,4,4,2,0.5,0.035,2.72,6.45
15,43.02,21.52,7.52,9.53,7.5,63,2.861702128,12,1,8,4,2,4,3,3,1,0.048,2.42,6.57
15,46.49,20.77,6.77,8.57,7.5,67,3.067946824,16,1,7,4,3,4,7,6,0.857142857,0.092,5.3,7.17
15,39.98,18.7,7.22,8.64,6.61,54,2.590027701,12,1,7,4,2,4,8,8,1,0.072,1.59,5.25
14,40.07,19.8,8.89,6.1,6.03,70,2.227221597,15,1,8,2,3,3,17,8,0.470588235,0.118,3.92,5.47
14,38.66,21.17,9.09,6.93,7.15,62,2.328932893,14,1,7,2,3,3,16,9,0.5625,0.095,3.89,5.63
14,40.7,17,7.78,7.98,7.1,67,2.185089974,11,1,7,4,3,4,25,10,0.4,0.217,6.29,8.83
14,46.91,22.39,10.5,8.27,7.82,63,2.132380952,8,1,7,4,3,4,17,10,0.588235294,0.145,5.5,7.63
14,42.32,21.89,10.36,7.55,7.57,68,2.112934363,15,1,7,4,3,3,24,20,0.833333333,0.179,5.53,7.53
7,35.7,16.51,9.4,6.13,5.21,54,2.162325863,14,2,4,2,2,1,0,0,0,0,2.05,3.63
7,37.27,18.76,7.81,6.99,6.27,55,2.402048656,14,1,7,4,3,1,0,0,0,0,2.33,3.57
7,33.52,14.43,8.97,7.43,6.06,44,1.608695652,17,1,8,2,2,1,0,0,0,0,1.74,2.59
7,37.03,18.59,10.54,7.46,6.47,55,1.763757116,16,1,7,2,3,2,9,7,0.777777778,0.071,3.49,4.97
7,37.61,18.1,8.45,7.78,6.02,59,2.142011834,18,2,6,4,3,2,8,8,1,0.061,2.4,3.92
51,47,18.41,11.78,7.95,6.28,75,1.562818336,15,1,8,4,1,4,12,11,0.916666667,0.083,4.48,6.64
51,56.18,22.57,9.58,9.06,7.55,68,2.355949896,10,2,5,4,1,4,20,16,0.8,0.096,7.43,9.79
51,47.05,19.58,9.66,7.56,6.78,70,2.026915114,9,1,8,2,1,4,20,18,0.9,0.092,4.67,6.26
51,64.66,24.49,11.95,11.01,8.23,65,2.049372385,7,1,7,2,1,4,35,32,0.914285714,0.125,9.18,13.97
51,64.94,25.76,12.37,9.19,7.08,87,2.082457559,10,1,8,4,1,4,41,35,0.853658537,0.14,10.8,14.54
38,41.82,19.83,11.18,7.48,6.31,63,1.773703041,10,1,5,2,2,1,0,0,0,0,3.27,5.37
38,46.64,20.53,11.23,7.04,6.25,64,1.828138914,9,1,5,2,2,1,0,0,0,0,3.68,5.98
38,49.68,21.1,10.49,6.59,6.91,75,2.011439466,10,1,5,2,3,1,0,0,0,0,4.26,6.66
38,40.85,19.53,10.21,7.25,6.26,69,1.912830558,12,1,6,4,2,1,0,0,0,0,2.82,5
38,47.71,20.29,10.68,9.44,6.7,64,1.899812734,13,1,5,2,3,3,11,3,0.272727273,0.044,4.42,7.68
135,40.65,24.47,12.1,6.84,9.95,64,2.02231405,11,1,7,4,3,3,20,18,0.9,0.165,5.65,7.81
135,43.3,24.23,10.63,7.89,10.76,70,2.27939793,11,1,8,4,3,4,31,20,0.64516129,0.214,6.34,8.66
135,43.47,24.71,10.31,8.31,9.42,73,2.396702231,10,1,6,4,3,3,31,24,0.774193548,0.17,6,8.53
135,41.89,24.19,13.31,8.39,8.93,67,1.817430503,12,1,7,4,3,3,29,24,0.827586207,0.205,5.93,8.58
135,45.32,26.1,13.62,7.84,7.95,77,1.916299559,14,1,6,4,3,3,42,31,0.738095238,0.145,6.68,9.33
5,33.86,18.18,13.48,6.31,5.74,60,1.348664688,16,1,8,4,1,1,0,0,0,0,2.77,3.74
5,40.78,21.47,12.58,7.33,6.44,67,1.706677266,15,1,8,2,1,2,12,11,0.916666667,0.079,4.63,6.26
5,38.52,19.93,11.53,7.74,7.6,67,1.728534258,11,1,8,2,1,2,15,13,0.866666667,0.081,4.04,5.43
5,32.37,17.25,10.65,6.33,5.49,62,1.61971831,15,1,8,4,1,2,13,13,1,0.088,2.63,3.6
5,39.1,21,8.16,6.74,7.16,61,2.573529412,12,1,8,2,1,2,23,18,0.782608696,0.12,4.81,6.4
81,47.68,23.28,11.54,7.14,8.15,88,2.017331023,16,1,7,4,1,2,26,12,0.461538462,0.098,6.83,9
81,47.27,23.49,11.3,7.57,7.73,68,2.078761062,9,1,7,4,1,2,21,16,0.761904762,0.112,6.42,8.47
81,49.21,23.29,10.99,7.59,8.59,79,2.119199272,11,1,7,4,1,2,27,18,0.666666667,0.132,6.95,9.18
81,42.92,21.54,10.21,7.7,7.1,60,2.109696376,12,1,7,4,1,2,27,19,0.703703704,0.099,5.2,6.84
81,43.05,22.02,11.17,6.75,7.6,67,1.971351835,15,1,7,4,1,2,25,21,0.84,0.081,5.36,7.01
5,38.94,19.09,9.48,8.37,8.06,62,2.01371308,11,1,6,2,1,1,0,0,0,0,3.53,4.86
5,41.74,20.02,9.81,7.31,8.74,64,2.04077472,12,1,7,4,1,1,2,1,0.5,0.007,4.17,5.6
5,34.26,18.12,9.75,7.16,8.9,68,1.858461538,14,1,7,4,1,1,3,2,0.666666667,0.013,3.19,4.37
5,36.07,18.69,7.34,6.92,7.58,63,2.546321526,13,1,7,4,1,2,26,26,1,0.169,3.65,4.55
5,42.43,21.47,8.52,8.57,9.01,59,2.519953052,11,1,8,4,1,2,30,27,0.9,0.179,4.77,6.69
21,39.96,21.74,11.53,8.27,6.57,61,1.885516045,14,1,7,4,4,1,0,0,0,0,4.03,5.78
21,47.82,25.85,11.01,8.74,7.26,77,2.347865577,16,1,7,4,4,3,29,21,0.724137931,0.282,6.71,9.64
21,52.38,25.3,10.83,9.48,8.1,83,2.336103416,14,2,8,4,4,3,37,29,0.783783784,0.396,7.57,11.1
21,56.73,29.59,10.46,10.92,9.38,85,2.828871893,14,2,7,4,4,4,41,35,0.853658537,0.538,11.94,15.46
21,51.42,27.47,11.26,10.02,8.21,76,2.439609236,15,2,8,4,4,4,40,38,0.95,0.479,8.2,11.43
11,48.81,21.88,9.42,8.05,6.86,83,2.322717622,18,1,5,2,2,1,0,0,0,0,4.18,8.55
11,36.67,18.49,7.2,8.08,8.01,58,2.568055556,25,1,7,4,2,2,0,0,0,0,3.38,5.13
11,44.16,21.62,6.78,8.28,7.99,66,3.18879056,26,1,6,2,2,2,10,9,0.9,0.0607,5.3,8.18
11,48.12,19.26,9.24,7.66,8.04,75,2.084415584,20,1,8,4,2,2,12,10,0.833333333,0.064,2.57,6.58
11,45.95,20.15,8.17,7.11,6.95,73,2.466340269,12,1,7,4,2,3,21,19,0.904761905,0.146,2.52,6.62
68,38.09,18.34,10.01,8.05,7.12,53,1.832167832,15,1,7,4,1,1,0,0,0,0,3.16,4.22
68,27.17,19.4,9.92,8.05,8.22,53,1.955645161,25,1,8,2,1,1,0,0,0,0,2.67,3.94
68,43.81,21.28,8.61,9.55,9.17,66,2.471544715,12,1,7,4,2,2,8,8,1,0.078,5.49,7.39
68,37.4,18.19,7.44,8.44,8.51,56,2.444892473,16,2,6,4,1,2,11,9,0.818181818,0.096,3.65,4.82
68,48.57,23.77,10.17,10.09,9.88,61,2.33726647,17,1,8,4,2,3,29,29,1,0.29,6.76,9.1
4,44.59,23.05,7.39,7.96,7.36,67,3.119079838,15,1,7,4,1,3,0,0,0,0,6.56,8.72
4,45.86,22.79,9.2,6.26,7.27,78,2.477173913,14,1,8,2,1,3,14,2,0.142857143,0.043,5.02,6.9
4,39.63,21.39,7.16,8.4,7.14,75,2.987430168,14,1,6,2,1,3,9,4,0.444444444,0.0416,2.62,6.14
4,49.97,24.96,10.42,8.74,8.44,74,2.395393474,10,1,8,2,1,2,8,5,0.625,0.056,8.61,10.55
4,49.1,26.07,8.91,9.95,8.9,81,2.925925926,14,1,7,4,1,3,22,8,0.363636364,0.134,8.18,11.1
8,30.2,16.14,9.38,5.15,6.32,52,1.720682303,11,1,7,4,2,1,0,0,0,0,1.82,2.7
8,31.29,15.29,11.74,6.06,6.25,52,1.302385009,14,1,7,4,1,2,5,4,0.8,0.025,2.26,3.24
8,27.14,14.6,7.3,6.94,6.13,51,2,11,1,8,4,1,2,4,4,1,0.027,1.41,2.22
8,31.4,16.33,9.4,6.81,7.07,55,1.737234043,10,1,7,4,2,2,13,13,1,0.084,2.33,3.49
8,33.82,16.56,9.74,6.01,6.69,56,1.700205339,14,1,8,4,2,2,19,18,0.947368421,0.107,2.67,3.89
7,49.85,24.5,6.5,7.19,7.12,58,3.769230769,16,1,8,2,4,2,12,12,1,0.117,7.21,9.89
7,51.89,25.48,5.01,9.12,8.85,60,5.085828343,18,1,8,2,4,2,17,16,0.941176471,0.202,7.1,10.9
7,50.67,25.4,7.38,7.15,7.22,56,3.441734417,15,1,8,2,4,4,25,23,0.92,0.263,7.69,10.11
7,50.53,23.96,7.52,7.86,7.34,60,3.186170213,16,1,8,2,4,3,24,24,1,0.23,6.02,10.02
7,51.23,24.35,7.63,8.16,8.55,55,3.191349934,12,1,8,2,4,4,27,25,0.925925926,0.25,7.15,10.21
17,33.45,18.61,9.59,7.31,6.83,56,1.940563087,12,1,8,4,2,2,12,11,0.916666667,0.041,3,4.2
17,39.7,21.83,8.72,7.82,8.28,56,2.503440367,7,1,8,4,2,3,31,28,0.903225806,0.261,5.65,7.92
17,39.82,22.33,8.92,8.19,7.61,66,2.503363229,11,1,8,4,2,3,32,30,0.9375,0.271,5.37,7.5
17,39.68,20.36,8.65,7.27,7.62,61,2.353757225,10,1,8,4,2,3,35,32,0.914285714,0.269,4.94,7.04
17,43.48,24.45,8.56,7.77,7.67,66,2.856308411,15,1,8,4,2,3,40,38,0.95,0.354,6.78,9.62
2,40.67,22.7,9.04,7.56,7.54,64,2.511061947,12,1,7,4,3,3,14,6,0.428571429,0.083,4.97,6.52
2,33.74,18.55,9.02,6.84,6.89,53,2.05654102,12,1,7,4,3,2,25,10,0.4,0.092,3.32,4.27
64,36.32,19.09,12.08,5.38,6.4,85,1.580298013,16,1,7,2,4,3,20,10,0.5,0.1,4.6,6.26
64,44.53,22.68,7.74,8.63,7.89,75,2.930232558,16,1,7,4,4,3,23,17,0.739130435,0.17,5.66,7.97
64,28.84,17.72,13.45,4.33,4.77,79,1.317472119,15,1,7,4,4,3,24,18,0.75,0.095,4.06,5.39
64,37.26,19.93,11.74,5.33,6.7,98,1.697614991,18,1,6,2,4,3,28,27,0.964285714,0.148,4.82,6.52
64,37.46,20.22,12.11,5.75,6.39,92,1.669694467,21,1,7,4,4,3,29,27,0.931034483,0.158,3.93,5.36
2,34.07,18,9.34,7.47,7.1,57,1.927194861,11,1,7,4,3,3,19,17,0.894736842,0.114,2.61,3.77
2,41.92,20.7,5.89,8.35,7.47,68,3.514431239,10,1,7,2,2,4,35,30,0.857142857,0.251,4.77,6.72
2,42.28,21.2,5.59,8.7,8.41,58,3.792486583,21,2,4,2,2,4,35,32,0.914285714,0.281,4.8,6.85
2,45.06,21.88,7.77,9.87,8.49,70,2.815958816,15,2,4,2,3,4,37,32,0.864864865,0.296,4.92,6.96
3,29.05,15.39,10.25,6.43,6.33,53,1.501463415,14,1,5,4,1,2,0,0,0,0,1.86,2.79
3,46.94,22.2,9.65,9.31,8.9,73,2.300518135,22,2,5,4,1,3,25,23,0.92,0.211,6.16,10.79
3,40.05,19.99,10.95,9.8,7.92,70,1.825570776,15,2,5,4,1,3,38,33,0.868421053,0.247,4.19,6.57
114,44.66,20.16,6.81,8.8,7.17,55,2.960352423,9,1,6,4,1,1,0,0,0,0,5.05,6.54
114,49.98,21.73,9.56,9.1,8.52,64,2.273012552,6,1,6,4,2,2,6,3,0.5,0.069,6.57,8.48
114,38.8,16.62,7.32,6.55,6.89,53,2.270491803,6,1,7,4,1,3,20,17,0.85,0.117,3.48,4.57
114,47.9,19.73,8.56,7.69,6.73,66,2.304906542,5,1,7,4,2,3,29,21,0.724137931,0.183,5.2,7.2
114,43.97,19.71,10.62,8.58,7.36,66,1.855932203,8,1,6,4,1,3,29,24,0.827586207,0.179,5.37,7.31
29,32.53,16.13,8.32,7.4,6.69,55,1.938701923,10,1,7,4,2,3,13,7,0.538461538,0.065,2.51,3.43
29,39.35,17.52,8.56,7.74,6.31,76,2.046728972,15,1,7,4,2,3,10,8,0.8,0.073,3.27,4.18
29,32.17,15.69,8.34,7.47,6.92,57,1.881294964,18,1,7,4,2,3,13,10,0.769230769,0.078,2.44,3.14
29,33.48,16.76,6.11,7,6.02,59,2.74304419,12,1,7,4,2,3,16,14,0.875,0.097,2.65,3.72
29,42.59,19.65,9.58,7.44,6.35,74,2.051148225,17,1,7,4,2,3,27,23,0.851851852,0.176,4.58,3.22
30,54.77,25.74,10.57,9.67,8.81,75,2.435193945,7,1,7,4,3,2,36,15,0.416666667,0.267,8.91,11.83
30,46.21,24.15,10.8,9.68,9.1,66,2.236111111,10,1,8,4,3,3,33,30,0.909090909,0.357,6.92,9.72
30,47.08,22.54,10.33,9.69,8.72,62,2.181994192,12,1,8,4,3,3,31,30,0.967741935,0.329,5.77,8.26
30,49.11,24.22,10.69,9.86,8.43,66,2.265668849,9,1,6,4,3,3,36,31,0.861111111,0.374,6.89,9.61
30,46.02,23.42,10.93,8.37,7.53,67,2.142726441,9,1,7,4,3,4,45,39,0.866666667,0.377,6.6,9.37
5,33.96,16.21,10.33,5.81,5.59,48,1.569215876,6,1,5,2,1,4,15,11,0.733333333,0.083,2.28,3.79
