cone_number,cone_length_mm,cone_width_mm,stalk_length_mm,scale_length_mm,scale_width_mm,scale_number,cone_angle,colour (hue),value,chroma,profile,cone_ratio,openness,seed_number,filled_number,seed_viability
40.00,37.81,19.80,7.71,8.25,7.87,48.00,12.00,1.00,6.00,4.00,1.00,0.52,4.00,13.00,12.00,0.92
40.00,34.39,18.91,8.28,8.21,7.55,52.00,16.00,1.00,6.00,4.00,1.00,0.55,4.00,20.00,12.00,0.60
40.00,39.84,20.83,7.84,8.98,8.07,56.00,15.00,1.00,6.00,4.00,1.00,0.52,4.00,24.00,14.00,0.58
40.00,34.13,18.51,7.48,7.23,6.89,52.00,15.00,1.00,5.00,4.00,1.00,0.54,4.00,28.00,21.00,0.75
40.00,39.50,21.59,9.96,7.58,6.70,57.00,16.00,1.00,7.00,4.00,1.00,0.55,4.00,29.00,15.00,0.52
14.00,45.30,22.34,12.15,7.88,5.90,72.00,7.00,1.00,6.00,4.00,2.00,0.49,4.00,51.00,45.00,0.88
32.00,42.36,19.37,8.60,7.64,7.55,62.00,8.00,1.00,8.00,4.00,1.00,0.46,1.00,0.00,0.00,0.00
32.00,42.45,20.38,7.69,7.79,7.37,65.00,8.00,1.00,6.00,4.00,1.00,0.48,3.00,11.00,7.00,0.64
32.00,50.45,23.17,9.87,8.96,8.44,69.00,9.00,1.00,6.00,4.00,1.00,0.46,2.00,17.00,12.00,0.71
32.00,42.76,20.71,8.07,8.67,7.32,66.00,7.00,1.00,8.00,4.00,1.00,0.48,3.00,17.00,13.00,0.76
32.00,52.44,23.32,9.14,9.11,8.27,70.00,8.00,1.00,6.00,4.00,1.00,0.44,2.00,20.00,16.00,0.80
15.00,43.73,20.53,6.35,9.96,7.53,56.00,9.00,1.00,7.00,4.00,2.00,0.47,1.00,0.00,0.00,0.00
15.00,43.02,21.52,7.52,9.53,7.50,63.00,12.00,1.00,8.00,4.00,2.00,0.50,4.00,3.00,3.00,1.00
15.00,43.12,20.04,7.92,8.49,7.17,54.00,17.00,1.00,8.00,4.00,3.00,0.46,4.00,4.00,2.00,0.50
15.00,46.49,20.77,6.77,8.57,7.50,67.00,16.00,1.00,7.00,4.00,3.00,0.45,4.00,7.00,6.00,0.86
15.00,39.98,18.70,7.22,8.64,6.61,54.00,12.00,1.00,7.00,4.00,2.00,0.47,4.00,8.00,8.00,1.00
14.00,38.66,21.17,9.09,6.93,7.15,62.00,14.00,1.00,7.00,2.00,3.00,0.55,3.00,16.00,9.00,0.56
14.00,46.91,22.39,10.50,8.27,7.82,63.00,8.00,1.00,7.00,4.00,3.00,0.48,4.00,17.00,10.00,0.59
14.00,40.07,19.80,8.89,6.10,6.03,70.00,15.00,1.00,8.00,2.00,3.00,0.49,3.00,17.00,8.00,0.47
14.00,42.32,21.89,10.36,7.55,7.57,68.00,15.00,1.00,7.00,4.00,3.00,0.52,3.00,24.00,20.00,0.83
14.00,40.70,17.00,7.78,7.98,7.10,67.00,11.00,1.00,7.00,4.00,3.00,0.42,4.00,25.00,10.00,0.40
7.00,35.70,16.51,9.40,6.13,5.21,54.00,14.00,2.00,4.00,2.00,2.00,0.46,1.00,0.00,0.00,0.00
7.00,37.27,18.76,7.81,6.99,6.27,55.00,14.00,1.00,7.00,4.00,3.00,0.50,1.00,0.00,0.00,0.00
7.00,33.52,14.43,8.97,7.43,6.06,44.00,17.00,1.00,8.00,2.00,2.00,0.43,1.00,0.00,0.00,0.00
7.00,37.61,18.10,8.45,7.78,6.02,59.00,18.00,2.00,6.00,4.00,3.00,0.48,2.00,8.00,8.00,1.00
7.00,37.03,18.59,10.54,7.46,6.47,55.00,16.00,1.00,7.00,2.00,3.00,0.50,2.00,9.00,7.00,0.78
1.00,38.17,17.90,9.37,4.81,4.94,63.00,9.00,1.00,6.00,4.00,1.00,0.47,1.00,0.00,0.00,0.00
1.00,25.00,13.44,7.18,2.95,3.69,46.00,5.00,1.00,6.00,4.00,1.00,0.54,1.00,0.00,0.00,0.00
51.00,47.00,18.41,11.78,7.95,6.28,75.00,15.00,1.00,8.00,4.00,1.00,0.39,4.00,12.00,11.00,0.92
51.00,56.18,22.57,9.58,9.06,7.55,68.00,10.00,2.00,5.00,4.00,1.00,0.40,4.00,20.00,16.00,0.80
51.00,47.05,19.58,9.66,7.56,6.78,70.00,9.00,1.00,8.00,2.00,1.00,0.42,4.00,20.00,18.00,0.90
51.00,64.66,24.49,11.95,11.01,8.23,65.00,7.00,1.00,7.00,2.00,1.00,0.38,4.00,35.00,32.00,0.91
51.00,64.94,25.76,12.37,9.19,7.08,87.00,10.00,1.00,8.00,4.00,1.00,0.40,4.00,41.00,35.00,0.85
3.00,43.35,19.98,12.41,7.66,6.77,58.00,11.00,1.00,8.00,4.00,2.00,0.46,4.00,21.00,18.00,0.86
3.00,40.80,18.57,11.80,7.39,7.45,53.00,11.00,1.00,7.00,4.00,1.00,0.46,4.00,24.00,22.00,0.92
3.00,46.33,21.90,11.76,8.83,8.02,62.00,9.00,1.00,7.00,6.00,2.00,0.47,4.00,31.00,26.00,0.84
3.00,48.19,22.89,13.57,8.36,7.91,69.00,9.00,1.00,7.00,4.00,2.00,0.47,4.00,39.00,31.00,0.79
38.00,49.68,21.10,10.49,6.59,6.91,75.00,10.00,1.00,5.00,2.00,3.00,0.42,1.00,0.00,0.00,0.00
38.00,46.64,20.53,11.23,7.04,6.25,64.00,9.00,1.00,5.00,2.00,2.00,0.44,1.00,0.00,0.00,0.00
38.00,41.82,19.83,11.18,7.48,6.31,63.00,10.00,1.00,5.00,2.00,2.00,0.47,1.00,0.00,0.00,0.00
38.00,40.85,19.53,10.21,7.25,6.26,69.00,12.00,1.00,6.00,4.00,2.00,0.48,1.00,0.00,0.00,0.00
38.00,47.71,20.29,10.68,9.44,6.70,64.00,13.00,1.00,5.00,2.00,3.00,0.43,3.00,11.00,3.00,0.27
135.00,40.65,24.47,12.10,6.84,9.95,64.00,11.00,1.00,7.00,4.00,3.00,0.60,3.00,20.00,18.00,0.90
135.00,41.89,24.19,13.31,8.39,8.93,67.00,12.00,1.00,7.00,4.00,3.00,0.58,3.00,29.00,24.00,0.83
135.00,43.47,24.71,10.31,8.31,9.42,73.00,10.00,1.00,6.00,4.00,3.00,0.57,3.00,31.00,24.00,0.77
135.00,43.30,24.23,10.63,7.89,10.76,70.00,11.00,1.00,8.00,4.00,3.00,0.56,4.00,31.00,20.00,0.65
