Order,block,id,pop,fam,cone_number,date,cone_id,cone_length_mm,cone_width_mm,stalk_length_mm,scale_length_mm,scale_width_mm,scale_number,cone_angle,colour (hue),value,chroma,profile,cone_ratio,openness,seed_number,filled_number,seed_viability,lat,long,mean_july_temp,annual_precip,altitude,height_mm,growth_rate,budburst_timing,budburst_duration,age_first_flowering,needle_retention
2,A,7002,GE,GE9,10,22/02/2024,5,34.13,18.98,8.06,5.82,5.61,75,8,1,8,4,4,0.556108995,,,,,57.96,-4.76,13.47,1474.73,62,4070,0.22,40,27.5,15,1.6667
2,A,7002,GE,GE9,10,22/02/2024,3,43.58,22.15,7.3,5.62,7,82,7,1,6,4,4,0.50826067,,,,,57.96,-4.76,13.47,1474.73,62,4070,0.22,40,27.5,15,1.6667
2,A,7002,GE,GE9,10,22/02/2024,1,46.14,23.08,7.34,6.76,7.62,82,7,1,6,4,4,0.500216732,,,,,57.96,-4.76,13.47,1474.73,62,4070,0.22,40,27.5,15,1.6667
2,A,7002,GE,GE9,10,22/02/2024,4,44.92,22.43,8.8,7.21,7.3,83,10,1,6,4,4,0.499332146,,,,,57.96,-4.76,13.47,1474.73,62,4070,0.22,40,27.5,15,1.6667
2,A,7002,GE,GE9,10,22/02/2024,2,46.41,21.85,7.72,6.26,6.85,80,7,1,6,4,4,0.470803706,,,,,57.96,-4.76,13.47,1474.73,62,4070,0.22,40,27.5,15,1.6667
3,A,7003,BE,BE4,40,22/02/2024,4,34.39,18.91,8.28,8.21,7.55,52,16,1,6,4,1,0.549869148,4,20,12,0.6,57.63,-5.4,14.47,2476.13,21,5380,0.16,36,20,13,2
3,A,7003,BE,BE4,40,22/02/2024,2,39.5,21.59,9.96,7.58,6.7,57,16,1,7,4,1,0.546582278,4,29,15,0.517241379,57.63,-5.4,14.47,2476.13,21,5380,0.16,36,20,13,2
3,A,7003,BE,BE4,40,22/02/2024,5,34.13,18.51,7.48,7.23,6.89,52,15,1,5,4,1,0.542338119,4,28,21,0.75,57.63,-5.4,14.47,2476.13,21,5380,0.16,36,20,13,2
3,A,7003,BE,BE4,40,22/02/2024,3,37.81,19.8,7.71,8.25,7.87,48,12,1,6,4,1,0.523670987,4,13,12,0.923076923,57.63,-5.4,14.47,2476.13,21,5380,0.16,36,20,13,2
3,A,7003,BE,BE4,40,22/02/2024,1,39.84,20.83,7.84,8.98,8.07,56,15,1,6,4,1,0.522841365,4,24,14,0.583333333,57.63,-5.4,14.47,2476.13,21,5380,0.16,36,20,13,2
4,A,7004,RM,RM7,52,22/02/2024,3,40.17,20.41,9.05,5.73,6.23,73,6,1,6,4,1,0.508090615,,,,,57.15,-3.77,13.5,1059.97,307,4650,0.18,40,16.5,13,2.1667
4,A,7004,RM,RM7,52,22/02/2024,1,46.63,22,9.74,6.74,8.17,75,9,1,8,4,1,0.471799271,,,,,57.15,-3.77,13.5,1059.97,307,4650,0.18,40,16.5,13,2.1667
4,A,7004,RM,RM7,52,22/02/2024,5,37.34,17.61,8.92,5.89,6.75,76,7,1,7,4,1,0.471612212,,,,,57.15,-3.77,13.5,1059.97,307,4650,0.18,40,16.5,13,2.1667
4,A,7004,RM,RM7,52,22/02/2024,4,39.01,17.84,8.82,5.02,6.38,76,9,1,7,4,1,0.457318636,,,,,57.15,-3.77,13.5,1059.97,307,4650,0.18,40,16.5,13,2.1667
4,A,7004,RM,RM7,52,22/02/2024,2,47.25,20.79,9.51,6.42,7.3,73,6,1,6,4,1,0.44,,,,,57.15,-3.77,13.5,1059.97,307,4650,0.18,40,16.5,13,2.1667
5,B,7173,BW,BW6,14,23/02/2024,2,45.3,22.34,12.15,7.88,5.9,72,7,1,6,4,2,0.493156733,4,51,45,0.882352941,56.68,-4.37,13.87,1238.65,294,3550,0.19,43,13,13,2.1667
6,A,7006,MG,MG10,55,22/02/2024,5,36.98,18.26,9.58,8.38,7.6,58,9,1,7,6,1,0.493780422,,,,,56.59,-4.35,12.38,1637.01,300,4760,0.18,43,13,10,1.8333
6,A,7006,MG,MG10,55,22/02/2024,1,42.68,20.67,11.29,9.24,9.26,58,6,2,6,6,1,0.484301781,,,,,56.59,-4.35,12.38,1637.01,300,4760,0.18,43,13,10,1.8333
6,A,7006,MG,MG10,55,22/02/2024,3,42.84,19.23,10.5,8.3,7.73,60,7,2,6,4,1,0.448879552,,,,,56.59,-4.35,12.38,1637.01,300,4760,0.18,43,13,10,1.8333
6,A,7006,MG,MG10,55,22/02/2024,4,40.34,17.89,5.82,8.34,7.7,58,7,1,7,6,1,0.443480416,,,,,56.59,-4.35,12.38,1637.01,300,4760,0.18,43,13,10,1.8333
6,A,7006,MG,MG10,55,22/02/2024,2,42.59,18.69,10.84,8.94,8.02,61,9,1,6,2,1,0.438835407,,,,,56.59,-4.35,12.38,1637.01,300,4760,0.18,43,13,10,1.8333
7,A,7007,BB,BB8,65,22/02/2024,5,34.51,20.52,7.09,5.68,6.12,62,6,1,7,4,4,0.594610258,,,,,56.98,-3.3,9.84,1344.24,381,3590,0.16,40,15.5,10,1.6667
7,A,7007,BB,BB8,65,22/02/2024,1,43.88,25.77,8.46,7.84,7.98,68,6,1,6,4,4,0.5872835,,,,,56.98,-3.3,9.84,1344.24,381,3590,0.16,40,15.5,10,1.6667
7,A,7007,BB,BB8,65,22/02/2024,4,39.22,22.54,9.16,7.17,7.49,60,6,1,6,4,4,0.574706782,,,,,56.98,-3.3,9.84,1344.24,381,3590,0.16,40,15.5,10,1.6667
