,,,,,,,,,,,,,,
,Cone Count ,Cone Length,Stalk Length,Scale Length ,Scale Count,Angle,Hue ,Value ,Chroma ,Profile,Ratio ,Openness,Seed Number,Viability
Cone Count,1,0.29,0.21,0.08,0.45,-0.09,0.03,-0.02,-0.04,0.13,-0.03,0.18,0.27,0.09
Cone Length,,1,0.4,0.57,0.58,0.26,0.02,0.15,0.09,0.16,-0.63,0.34,0.47,0.31
Stalk Length,,,1,0.36,0.18,0.13,-0.02,-0.07,-0.15,-0.07,-0.34,0.39,0.55,0.38
Scale Length,,,,1,0.09,0.25,0.08,0.09,0.18,-0.02,-0.27,0.27,0.21,-0.05
Scale Count,,,,,1,0.06,-0.03,0.12,-0.03,0.11,-0.08,0.37,0.65,0.37
Angle,,,,,,1,-0.03,0.02,0.01,-0.03,-0.22,0.21,0.11,-0.05
Hue,,,,,,,1,-0.49,-0.07,-0.17,-0.08,0.03,-0.15,-0.17
Value,,,,,,,,1,0.51,0.25,-0.01,-0.08,0.1,0.22
Chroma,,,,,,,,,1,0.24,-0.02,0.01,0.05,0.02
Profile ,,,,,,,,,,1,0.03,0.07,0.23,0.31
Ratio,,,,,,,,,,,1,-0.14,0,-0.05
Openness,,,,,,,,,,,,1,0.73,0.54
Seed Number,,,,,,,,,,,,,1,0.72
Viability,,,,,,,,,,,,,,1
